,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Local Government Renewables Action Tracker - Transaction Data (01/01/2015 - 06/30/2022),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Updated 12/21/2022,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Buyer Data,,,,,,Transaction Overview,,,,,,,,,Development and Operation Details,,,,,,,,Data Source Details,,,,,,,,,,,,,,,,,,,,,,,
Ref. No.,Buyer Name,State,City Latitude,City Longitude,ISO or FERC Region,Announcement Year,Announcement Year (or Operations Year if Announcement Year unavailable),Announcement Date,Technology,Transaction Type,Size of Purchase (MW),DC/AC,Contract Length (Year),Energy Price in Year 1 ($/MWh),Utility Name,Utility Type,Developer Name,Project Name,Project Location,Project State,Operation Start Year,Estimated Annual Generation (MWh),Source 1,Source 2,Source 3,Source 4,Source 5,Notes,,,,,,,,,,,,,,,,,,
842,Fremont,Nebraska,41.4338363,-96.496045,SPP,2017,2017,,Wind,Off-site Physical PPA,40.890,,25,,City of Fremont,Municipal Utility,NextEra Energy,Cottonwood Wind Project,Webster County,Nebraska,2017,,https://fremontne.gov/DocumentCenter/View/5093/Final-Integrated-Resource-Plan-2018-8242018?bidId=,https://fremontne.gov/DocumentCenter/View/4605/DU-News_Oct-Nov2017?bidId=,,,,,,,,,,,,,,,,,,,,,,
843,Grand Island,Nebraska,40.924271,-98.338685,SPP,,2018,,Solar,On-site,1.000,,,,City of Grand Island Utilities Department,Municipal Utility,GenPro Energy Solutions,,Grand Island,Nebraska,2018,,https://theindependent.com/news/local/watch-now-pilot-project-tests-potential-of-solar-energy-for-grand-island/article_9c751bec-bf3a-11ea-b9fc-4b2f6fc22128.html,,,,,,,,,,,,,,,,,,,,,,,
844,Grand Island,Nebraska,40.924271,-98.338685,MISO,2015,2015,06/23/2015,Wind,Off-site Physical PPA,36.000,,25,,Grand Island Utilities Department,Municipal Utility,Invenergy,Prairie Breeze III Wind Energy Center,Antelope County,Nebraska,2016,,https://invenergyllc.com/news/city-of-grand-island-announces-first-renewable-energy-purchase-signs-agreement-with-invenergy-for-nebraska-wind-power,https://www.thewindpower.net/windfarm_en_24054_prairie-breeze-iii.php,https://nawindpower.com/investor-takes-stake-in-prairie-breeze-ii-and-iii-wind-farms,,,,,,,,,,,,,,,,,,,,,
845,Hastings,Nebraska,40.5861322,-98.389888,SPP,,2019,,Solar,Community Solar,1.500,AC,,,City of Hastings,Municipal Utility,,Hastings Community Solar Farm,,,2019,,https://data.nrel.gov/submissions/131,,,,,,,,,,,,,,,,,,,,,,,
846,Hemingford,Nebraska,42.3215777,-103.07287,SPP,,2020,,Solar,On-site,1.000,AC,,,Hemingford Municipal Power,Municipal Utility,GenPro,,Hemingford,Nebraska,2020,,https://starherald.com/townnews/commerce/hemingford-solar-array-powered-up/article_d7f9ee76-fdf7-11ea-94ae-affd60241238.html,,,,,,,,,,,,,,,,,,,,,,,
847,Kearney,Nebraska,40.4906216,-98.947234,SPP,2017,2017,,Solar,Community Solar,5.760,,,,Nebraska Public Power District (NPPD),Non-municipal Public-owned Utility,SoCore Energy,Kearney SunWise Community Solar Program,Kearney,Nebraska,2018,,https://www.engiedistributedsolar.com/kearney-solar-park-ribbon-cutting-monday/,https://www.nppd.com/press-releases/kearney-sunwise-community-solar-shares-on-sale-starting-sept-15-2017,https://nptelegraph.com/news/local/ogallala-nebraska-public-power-announce-community-solar-farm-project/article_7a504d78-65d5-11ec-9be4-ab7a08232b37.html,,,,,,,,,,,,,,,,,,,,,
848,Lincoln,Nebraska,40.8088861,-96.707775,SPP,2016,2016,,Solar,Community Solar,4.700,DC ,,,Lincoln Electric Power,Municipal Utility,Enerparc,LES Community Solar Facility,Lincoln,Nebraska,2016,,https://www.les.com/savings-energy/solar-customer-owned-gen/solar,,,,,,,,,,,,,,,,,,,,,,,
849,Norfolk,Nebraska,42.0283379,-97.416996,SPP,2019,2019,04/16/2019,Solar,Community Solar,8.500,,30,,Nebraska Public Power District (NPPD),Non-municipal Public-owned Utility,N Solar,Sunwise Community Solar Program: Norfolk community solar project,Norfolk,Nebraska,2020,,https://www.nppd.com/press-releases/city-of-norfolk-nppd-team-up-for-solar-project-battery-storage?locale=en,https://www.mccookgazette.com/story/2829455.html,,,,,,,,,,,,,,,,,,,,,,
850,Ogallala,Nebraska,41.1248328,-101.7189583,SPP,2021,2021,12/14/2021,Solar,Community Solar,1.500,,30,48.00,Nebraska Public Power District (NPPD),Non-municipal Public-owned Utility,GRNE Solar,Ogallala community solar farm,Ogallala,Nebraska,2022,,https://nptelegraph.com/news/local/ogallala-nebraska-public-power-announce-community-solar-farm-project/article_7a504d78-65d5-11ec-9be4-ab7a08232b37.html,https://northplattebulletin.com/ogallala-contracting-for-solar-farm/,,,,,,,,,,,,,,,,,,,,,,
851,Scottsbluff,Nebraska,41.862302,-103.66271,MISO,2015,2015,12/13/2015,Solar,Community Solar,0.128,,,,Nebraska Public Power District (NPPD),Non-municipal Public-owned Utility,,Scottbluff solar energy pilot project,Scottsbluff,Nebraska,2017,200,https://journalstar.com/news/state-and-regional/nebraska/scottsbluff-solar-energy-pilot-project-gains-city-approval/article_b5a93c93-06db-507a-91e5-3f6d6b0a35ea.html,https://nebraska.tv/news/local/scottsbluff-to-begin-second-community-solar-project,,,,,,,,,,,,,,,,,,,,,,
852,Scottsbluff,Nebraska,41.862302,-103.66271,MISO,2018,2018,05/07/2018,Solar,Community Solar,4.600,,25,49.90,Nebraska Public Power District (NPPD),Non-municipal Public-owned Utility,Sol Systems,Scottbluff's second community solar project (near the Alan C. Landers Soccer Complex),Scottsbluff,Nebraska,2019,,https://nebraska.tv/news/local/scottsbluff-to-begin-second-community-solar-project,https://www.starherald.com/news/local_news/scottsbluff-ready-to-add-solar-electricity/article_aaf0f24c-b17a-5df2-88be-f7065e1728ba.html,,,,,,,,,,,,,,,,,,,,,,
853,South Sioux City,Nebraska,42.4737805,-96.413591,SPP,2017,2017,06/06/2017,Wind,Off-site Physical PPA,15.590,,,,South Sioux City Utility Department,Municipal Utility,NextEra Energy,Cottonwood Wind Project,Webster County,Nebraska,2017,,https://neo.ne.gov/programs/stats/inf/89.htm,https://www.southsiouxcity.org/egov/documents/1512769241_92072.pdf,,,,,,,,,,,,,,,,,,,,,,
854,South Sioux City,Nebraska,42.4737805,-96.413591,SPP,2016,2016,08/29/2016,Other,On-site,3.000,,,,South Sioux City PUC,Municipal Utility,Green Star Energy,$3.75 million Renewable Fuels Power Plant,South Sioux City,Nebraska,2018,,https://www.manufacturing.net/energy/article/13193761/south-sioux-city-approves-375-renewable-fuels-power-plant,,,,,,,,,,,,,,,,,,,,,,,
855,Venango,Nebraska,40.764252,-102.04047,SPP,,2017,,Solar,Community Solar,0.096,AC,,,Nebraska Public Power District (NPPD),Non-municipal Public-owned Utility,,Venango Community Solar,,,2017,,https://data.nrel.gov/submissions/131,,,,,,,,,,,,,,,,,,,,,,,
856,Wahoo,Nebraska,41.2111084,-96.6197985,SPP,2021,2021,07/27/2021,Solar,Off-site Physical PPA,2.000,,30,,Wahoo Utilities Department ,Municipal Utility,Sol CES Projects,Solar plant on 10 acres on the east side of Wahoo,Wahoo,Nebraska,,,https://wahoo-ashland-waverly.com/community/city-gives-nod-to-solar/article_a0cffbe8-f554-11eb-97a9-5bc09cee6cbf.html,https://www.wahoo.ne.us/vimages/shared/vnews/stories/4fdb8f11b5939/2021-07-27%20Minutes.pdf,,,,,,,,,,,,,,,,,,,,,,
857,Boulder City,Nevada,35.9787638,-114.8337739,Southwest,2020,2020,06/15/2020,Solar,Off-site Physical PPA,5.000,AC,,39.95,Boulder City Municipal Utility,Municipal Utility,"Arevon Energy Inc., Rosendin Electric",Townsite Solar,Boulder City,Nevada,2022,"500,000",https://www.bcnv.org/DocumentCenter/View/9715/White-Paper---UNDERSTANDING-BOULDER-CITY-ELECTRIC-SOURCES-Rev-April-2022?bidId=,https://bouldercityreview.com/news/new-townsite-solar-project-lauded-68118/,https://arevonenergy.com/arevon-and-rosendin-complete-townsite-solar-storage-project-in-boulder-city-nevada/,https://www.eia.gov/electricity/data/eia860/,,With 90 MW of batteries,,,,,,,,,,,,,,,,,,
858,Las Vegas,Nevada,36.1672559,-115.14852,Southwest,2015,2015,11/24/2015,Solar,Green Tariff,15.000,AC,20,,NV Energy,Investor-owned Utility,SunPower,Boulder Solar 1,Boulder City,Nevada,2016,"43,200",https://www.businesswire.com/news/home/20151124006125/en/City-Las-Vegas-Track-Rely-Exclusively-Renewable,http://pucweb1.state.nv.us/PDF/AxImages/DOCKETS_2015_THRU_PRESENT/2015-11/7808.pdf,https://bouldercityreview.com/news/city-government/council-oks-20-million-solar-lease/,,,,,,,,,,,,,,,,,,,,,
859,Panaca,Nevada,37.79052,-114.38943,Northwest,2015,2015,,Solar,Community Solar,0.090,,,,Lincoln County Power District,Municipal Utility,,US 93 Community Solar,Panaca,Nevada,2015,,http://www.lcpd1.com/content/community-solar-project-taking-reservations,,,,,,,,,,,,,,,,,,,,,,,
860,Bristol,New Hampshire,43.591333,-71.737289,New England,2021,2021,03/12/2021,Solar,On-site,0.200,,25,150.00,,,Barrington Power,Bristol Sewer and Water Solar Project,Bristol,New Hampshire,2022,,https://www.townofbristolnh.org/sites/g/files/vyhlif2866/f/pages/bristol_sewer_and_water_solar_project_faq_1.pdf,https://granitegeek.concordmonitor.com/2021/03/12/great-explainer-about-solar-for-towns/,https://www.townofbristolnh.org/energy-committee/pages/proposed-solar-array-wwtf,https://www.townofbristolnh.org/budget-committee/pages/2021-town-meeting-information-and-documents,,,,,,,,,,,,,,,,,,,,
861,Derry,New Hampshire,42.8808677,-71.3264492,New England (ISO-NE),2021,2021,08/26/2021,Solar,On-site,2.200,,25,,,,,Solar farm at a town-owned landfill site on Kendall Pond Road,Derry,New Hampshire,,,https://manchesterinklink.com/derry-moves-forward-with-solar-farm-plans-after-governor-signs-net-metering-law/,,,,,,,,,,,,,,,,,,,,,,,
862,Derry,New Hampshire,42.8808677,-71.3264492,New England (ISO-NE),2022,2022,02/24/2022,Solar,On-site,2.200,,25,68,Eversource/Liberty/NHEC/UNITIL,Investor-owned Utility,Encore Renewable Energy,Derry Solid Waste Landfill Solar Project,Town of Derry,New Hampshire,2023,,https://www.derrynh.org/sites/g/files/vyhlif3026/f/pages/derry_nh_landfill_pr_-_approved_feb_24_2022.pdf,https://encorerenewableenergy.com/project/derry-landfill-solar/,https://www.derrynh.org/sites/g/files/vyhlif3026/f/pages/press_release_derry_solicits_bids_on_landfill_solar_farm_aug_26_2021.pdf,https://www.derrynh.org/sites/g/files/vyhlif3026/f/agendas/22-15_and_22-16_solar_array_at_landfill.pdf,,Landfill solar. The project is one of the largest solar arrays in New Hampshire. It will help meet the Town Council's goal for 100% renewable energy two years ahead of its original goal of 2025. ,,,,,,,,,,,,,,,,,,
863,Epping,New Hampshire,43.0394461,-71.073025,New England (ISO-NE),2020,2020,09/11/2020,Solar,On-site,1.500,,,,,,,Solar facilities at the decommissioned lagoons of the Epping wastewater facility,Epping,New Hampshire,2022,,https://www.unionleader.com/epping-investment-positions-them-for-the-future/article_e6a5216f-557f-534e-9cdf-4bba1ed9da1e.html,https://www.rd.usda.gov/sites/default/files/nh_epping_wep.pdf,,,,,,,,,,,,,,,,,,,,,,
864,Hanover,New Hampshire,43.703622,-72.288666,New England (ISO-NE),2019,2019,05/20/2019,Solar,On-site,0.017,,,,,,,,Hanover,New Hampshire,2019,,https://www.solarnovus.com/hanover-becomes-first-ready-for-100-town-in-new-hampshire_N11966.html,,,,,,,,,,,,,,,,,,,,,,,
865,Hanover,New Hampshire,43.703622,-72.288666,New England (ISO-NE),2019,2019,05/20/2019,Solar,On-site,0.070,,,,,,ReVision,,Hanover,New Hampshire,,,https://www.solarnovus.com/hanover-becomes-first-ready-for-100-town-in-new-hampshire_N11966.html,,,,,,,,,,,,,,,,,,,,,,,
866,Hanover,New Hampshire,43.703622,-72.288666,New England (ISO-NE),2021,2021,10/16/2021,Solar,On-site,1.720,,,,,,ReVision Energy,Hanover Water Filtration Facility solar array,Hanover,New Hampshire,,"2,000",https://www.eagletimes.com/news/a-cleaner-future-hanover-unveils-largest-municipal-solar-farm-in-new-hampshire/article_67520829-a03a-59a9-b79e-371bac358e73.html,,,,,,,,,,,,,,,,,,,,,,,
867,Keene,New Hampshire,42.933597,-72.278426,New England (ISO-NE),2018,2018,07/27/2018,Solar,On-site,0.643,,,92,Public Service Company of New Hampshire (PSNH),Investor-owned Utility,ReVision Energy,Solar array on the roof of a municipal building (police and public works departments),Keene,New Hampshire,2019,740,https://www.sentinelsource.com/news/local/keene-committee-backs-plan-for-solar-array-at-city-complex/article_b5412b84-f087-5d69-b392-19d936deb7b0.html,https://www.sentinelsource.com/news/local/keene-official-city-set-to-save-with-new-solar-array/article_df14fe2a-f35e-575d-845d-c66a304f9c28.html,,,,,,,,,,,,,,,,,,,,,,
868,Keene,New Hampshire,42.933597,-72.278426,New England (ISO-NE),2020,2020,06/11/2020,Solar,On-site,1.000,AC,,,Public Service Company of New Hampshire (PSNH),Investor-owned Utility,ReVision Energy,Ground-mounted solar system at Keene’s wastewater treatment facility near the city-owned Dillant-Hopkins Airport in North Swanzey,Keene,New Hampshire,,1600,https://www.sentinelsource.com/news/local/in-keene-shaheen-touts-solar-energy-projects/article_d1f47459-8aba-534d-bcf4-a930cb7a6809.html,https://ci.keene.nh.us/sites/default/files/2020-06/2020_06_11_FOP_Agenda_Packet_Corrected_Optimized%20TH.pdf,,,,,,,,,,,,,,,,,,,,,,
869,Manchester,New Hampshire,42.9956397,-71.4547891,New England (ISO-NE),2019,2019,11/19/2019,Solar,On-site,1.000,AC,,,Eversource Energy,Investor-owned Utility,Kearsarge,Dunbarton Landfill Solar,Manchester,New Hampshire,2021,3800,https://news.yahoo.com/city-hall-efforts-become-clg-165100307.html,https://manchesterinklink.com/city-approves-solar-development-project-on-dunbarton-road/,,,,,,,,,,,,,,,,,,,,,,
870,Nashua,New Hampshire,42.7656251,-71.467703,New England (ISO-NE),2019,2019,09/16/2019,Solar,On-site,0.070,,25,88,Eversource Energy,Non-municipal Public-owned Utility,ReVision Energy,Nashua Transit Garage Solar Array,Nashua,New Hampshire,2019,,https://www.revisionenergy.com/solar-projects/nashua-transit-system-nashua-nh/,https://www.revisionenergy.com/solar-projects/nashua-transit-system-nashua-nh/,https://energycentral.com/news/city-making-plans-save-money-solar-projects,https://www.nashuatelegraph.com/news/local-news/2019/11/05/city-revision-energy-set-sights-on-solar/,,,,,,,,,,,,,,,,,,,,
871,Nashua,New Hampshire,42.7656251,-71.467703,New England (ISO-NE),2019,2019,09/16/2019,Solar,On-site,0.100,,25,88,Eversource Energy,Non-municipal Public-owned Utility,ReVision Energy,Lake Street Fire Station Rooftop Solar Array,Nashua,New Hampshire,2019,140,https://www.revisionenergy.com/solar-projects/lake-street-fire-station-nashua-nh/,https://www.revisionenergy.com/solar-projects/nashua-transit-system-nashua-nh/,https://energycentral.com/news/city-making-plans-save-money-solar-projects,https://www.nashuatelegraph.com/news/local-news/2019/11/05/city-revision-energy-set-sights-on-solar/,,,,,,,,,,,,,,,,,,,,
872,Nashua,New Hampshire,42.7656251,-71.467703,New England (ISO-NE),2020,2020,02/18/2020,Solar,On-site,0.200,,25,,Eversource Energy,Non-municipal Public-owned Utility,ReVision Energy,Dr. Crisp Elementary School Solar Array,Nashua,New Hampshire,2020,227,https://nerej.com/two-nashua-schools-now-powered-by-solar,https://www.unionleader.com/news/environment/nashua-elementary-school-to-be-fitted-with-1-000-solar-panels/article_5391a86f-a6f7-504b-b6a2-e908404dba50.html,,,,,,,,,,,,,,,,,,,,,,
873,Nashua,New Hampshire,42.7656251,-71.467703,New England (ISO-NE),2019,2019,09/16/2019,Solar,On-site,0.300,,25,88,Eversource Energy,Non-municipal Public-owned Utility,ReVision Energy,Conway Arena Solar Array,Nashua,New Hampshire,2019,,https://www.revisionenergy.com/solar-projects/conway-arena-nashua-nh/,https://www.revisionenergy.com/solar-projects/nashua-transit-system-nashua-nh/,https://energycentral.com/news/city-making-plans-save-money-solar-projects,https://www.nashuatelegraph.com/news/local-news/2019/11/05/city-revision-energy-set-sights-on-solar/,,,,,,,,,,,,,,,,,,,,
874,Nashua,New Hampshire,42.7656251,-71.467703,New England (ISO-NE),2020,2020,,Solar,On-site,0.660,,25,,Eversource Energy,Non-municipal Public-owned Utility,ReVision Energy,Fairgrounds Middle School Solar Array,Nashua,New Hampshire,2020,760,https://nerej.com/two-nashua-schools-now-powered-by-solar,,,,,,,,,,,,,,,,,,,,,,,
875,Newport,New Hampshire,43.365625,-72.173996,New England (ISO-NE),2018,2018,05/09/2018,Solar,On-site,2.200,,25,,Eversource Energy,Investor-owned Utility,Norwich Solar Technologies,Municipal solar project,Newport,New Hampshire,,,https://norwichsolar.com/newport-voters-approve-nhs-largest-municipal-solar-project/,,,,,,,,,,,,,,,,,,,,,,,
876,Shelburne,New Hampshire,44.401411,-71.075363,New England (ISO-NE),,2020,,Solar,On-site,0.017,DC,,,,,"Enphase Energy, 603 Solar",Solar array on the town hall building,Shelburne,New Hampshire,2020,18.174,https://www.globenewswire.com/news-release/2020/10/05/2103480/0/en/Enphase-Energy-and-603-Solar-to-Offset-100-of-Energy-for-Shelburne-NH-Town-Hall.html,,,,,,,,,,,,,,,,,,,,,,,
877,Asbury Park,New Jersey,40.2203907,-74.012082,PJM,2021,2021,01/21/2021,Solar,On-site,1.290,,15,,Jersey Central Power & Light,Investor-owned Utility,Solar Landscape,"Solar projects  on the rooftops of Asbury Park High School, Dr. Martin Luther King Jr. Middle School, Thurgood Marshall Elementary School, and Bradley Elementary School",Asbury Park,New Jersey,,1500,http://asburyparksun.com/solar-landscape-to-provide-asbury-park-schools-free-electricity-for-15-years/,https://amp.lohud.com/story/news/education/asbury-park-schools/2021/01/26/asbury-park-school-district-solar-panels-cut-electric-bill-half/6671098002/,,,,,,,,,,,,,,,,,,,,,,
878,Berkeley,New Jersey,40.6834349,-74.442653,PJM,2021,2021,11/23/2021,Solar,Community Solar,10.000,,,,Jersey Central Power & Light,Investor-owned Utility,Hathaway Solar ,Berkeley's landfill solar array,Berkeley,New Jersey,,,https://www.app.com/story/news/local/redevelopment/2021/11/23/berkeley-nj-former-landfill-become-solar-field/8672799002/,https://www.jerseyshoreonline.com/berkeley/solar-farm-to-be-built-over-landfill-2/,,,,,,,,,,,,,,,,,,,,,,
879,Brick,New Jersey,40.4015814,-74.2376067,PJM,2021,2021,04/29/2021,Solar,On-site,0.057,DC,,,Jersey Central Power & Light,Investor-owned Utility,"BCE NJ Solar One, LLC",Brick School Tranportation Building  Solar,Brick,New Jersey,2022,,http://mms.brickschools.org/Portals/1/MEETINGS/2021-04-29/BA/PPA%20AMENDMENT.pdf,,,,,,,,,,,,,,,,,,,,,,,
880,Brick,New Jersey,40.4015814,-74.2376067,PJM,2021,2021,04/29/2021,Solar,On-site,0.112,DC,,,Jersey Central Power & Light,Investor-owned Utility,"BCE NJ Solar One, LLC",Lanes Mill Elementary  School Solar,Brick,New Jersey,2022,,http://mms.brickschools.org/Portals/1/MEETINGS/2021-04-29/BA/PPA%20AMENDMENT.pdf,,,,,,,,,,,,,,,,,,,,,,,
881,Brick,New Jersey,40.4015814,-74.2376067,PJM,2021,2021,04/29/2021,Solar,On-site,0.141,DC,,,Jersey Central Power & Light,Investor-owned Utility,"BCE NJ Solar One, LLC",Herbertsville Elementary School Solar,Brick,New Jersey,2022,,http://mms.brickschools.org/Portals/1/MEETINGS/2021-04-29/BA/PPA%20AMENDMENT.pdf,,,,,,,,,,,,,,,,,,,,,,,
882,Brick,New Jersey,40.4015814,-74.2376067,PJM,2021,2021,04/29/2021,Solar,On-site,0.150,DC,,,Jersey Central Power & Light,Investor-owned Utility,"BCE NJ Solar One, LLC",Brick Township Osbornville Elementary  School Solar,Brick,New Jersey,2022,,http://mms.brickschools.org/Portals/1/MEETINGS/2021-04-29/BA/PPA%20AMENDMENT.pdf,,,,,,,,,,,,,,,,,,,,,,,
883,Brick,New Jersey,40.4015814,-74.2376067,PJM,2021,2021,04/29/2021,Solar,On-site,0.153,DC,,,Jersey Central Power & Light,Investor-owned Utility,"BCE NJ Solar One, LLC",Warren H. Wolf Elementary School Solar,Brick,New Jersey,2022,,http://mms.brickschools.org/Portals/1/MEETINGS/2021-04-29/BA/PPA%20AMENDMENT.pdf,,,,,,,,,,,,,,,,,,,,,,,
884,Brick,New Jersey,40.4015814,-74.2376067,PJM,2021,2021,04/29/2021,Solar,On-site,0.163,DC,,,Jersey Central Power & Light,Investor-owned Utility,"BCE NJ Solar One, LLC",Drum Point Elementary School Solar,Brick,New Jersey,2022,,http://mms.brickschools.org/Portals/1/MEETINGS/2021-04-29/BA/PPA%20AMENDMENT.pdf,,,,,,,,,,,,,,,,,,,,,,,
885,Brick,New Jersey,40.4015814,-74.2376067,PJM,2021,2021,04/29/2021,Solar,On-site,0.795,DC,,,Jersey Central Power & Light,Investor-owned Utility,"BCE NJ Solar One, LLC",Brick Township High School Solar,Brick,New Jersey,2022,,https://brick.shorebeat.com/2022/05/the-huge-solar-array-at-brick-township-high-school-is-about-to-go-live/,http://mms.brickschools.org/Portals/1/MEETINGS/2021-04-29/BA/PPA%20AMENDMENT.pdf,,,,,,,,,,,,,,,,,,,,,,
886,Delanco Township,New Jersey,40.048304,-74.952832,PJM,2021,2021,05/12/2021,Solar,Community Solar,3.100,,,,New Jersey Public Service Electric & Gas,Non-municipal Public-owned Utility,Soltage,Delanco Landfill Solar (New Jersey Community Solar Energy Pilot Program) ,Delanco Township,New Jersey,2021,,https://www.nj.gov/bpu/newsroom/2021/approved/20210513.html,https://www.wastetodaymagazine.com/article/new-jersey-brownfield-solar-project/,,,,,,,,,,,,,,,,,,,,,,
